Agencia,Atributo,organizacion,outcome,Total,Valor
OIT,existente,Academia,1.1,22,0
OIT,existente,Academia,1.2,39,0
OIT,existente,Academia,1.3,14,0
OIT,existente,Academia,2.1,17,0
OIT,existente,Academia,2.2,20,0
OIT,existente,Academia,2.3,25,0
OIT,existente,Academia,2.4,19,0
OIT,existente,Academia,3.1,21,0
OIT,existente,Academia,3.2,19,0
OIT,existente,Academia,3.3,18,0
OIT,existente,Academia,3.4,19,0
OIT,existente,Academia,3.5,24,0
OIT,existente,Academia,3.6,8,0
OIT,existente,Gobierno Nacional,1.1,22,1
OIT,existente,Gobierno Nacional,1.2,39,1
OIT,existente,Gobierno Nacional,1.3,14,0
OIT,existente,Gobierno Nacional,2.1,17,0
OIT,existente,Gobierno Nacional,2.2,20,0
OIT,existente,Gobierno Nacional,2.3,25,1
OIT,existente,Gobierno Nacional,2.4,19,1
OIT,existente,Gobierno Nacional,3.1,21,1
OIT,existente,Gobierno Nacional,3.2,19,1
OIT,existente,Gobierno Nacional,3.3,18,1
OIT,existente,Gobierno Nacional,3.4,19,1
OIT,existente,Gobierno Nacional,3.5,24,0
OIT,existente,Gobierno Nacional,3.6,8,0
OIT,existente,"Gobiernos Territoriales(Gobernaciones, Alcaldías, CARs)",1.1,22,0
OIT,existente,"Gobiernos Territoriales(Gobernaciones, Alcaldías, CARs)",1.2,39,1
OIT,existente,"Gobiernos Territoriales(Gobernaciones, Alcaldías, CARs)",1.3,14,0
OIT,existente,"Gobiernos Territoriales(Gobernaciones, Alcaldías, CARs)",2.1,17,0
OIT,existente,"Gobiernos Territoriales(Gobernaciones, Alcaldías, CARs)",2.2,20,0
OIT,existente,"Gobiernos Territoriales(Gobernaciones, Alcaldías, CARs)",2.3,25,1
OIT,existente,"Gobiernos Territoriales(Gobernaciones, Alcaldías, CARs)",2.4,19,1
OIT,existente,"Gobiernos Territoriales(Gobernaciones, Alcaldías, CARs)",3.1,21,0
OIT,existente,"Gobiernos Territoriales(Gobernaciones, Alcaldías, CARs)",3.2,19,0
OIT,existente,"Gobiernos Territoriales(Gobernaciones, Alcaldías, CARs)",3.3,18,0
OIT,existente,"Gobiernos Territoriales(Gobernaciones, Alcaldías, CARs)",3.4,19,1
OIT,existente,"Gobiernos Territoriales(Gobernaciones, Alcaldías, CARs)",3.5,24,0
OIT,existente,"Gobiernos Territoriales(Gobernaciones, Alcaldías, CARs)",3.6,8,0
OIT,existente,Iglesias,1.1,22,0
OIT,existente,Iglesias,1.2,39,0
OIT,existente,Iglesias,1.3,14,0
OIT,existente,Iglesias,2.1,17,0
OIT,existente,Iglesias,2.2,20,0
OIT,existente,Iglesias,2.3,25,0
OIT,existente,Iglesias,2.4,19,0
OIT,existente,Iglesias,3.1,21,0
OIT,existente,Iglesias,3.2,19,0
OIT,existente,Iglesias,3.3,18,0
OIT,existente,Iglesias,3.4,19,0
OIT,existente,Iglesias,3.5,24,0
OIT,existente,Iglesias,3.6,8,0
OIT,existente,Ninguna,1.1,22,0
OIT,existente,Ninguna,1.2,39,0
OIT,existente,Ninguna,1.3,14,0
OIT,existente,Ninguna,2.1,17,1
OIT,existente,Ninguna,2.2,20,0
OIT,existente,Ninguna,2.3,25,0
OIT,existente,Ninguna,2.4,19,0
OIT,existente,Ninguna,3.1,21,0
OIT,existente,Ninguna,3.2,19,0
OIT,existente,Ninguna,3.3,18,0
OIT,existente,Ninguna,3.4,19,0
OIT,existente,Ninguna,3.5,24,0
OIT,existente,Ninguna,3.6,8,0
OIT,existente,Organizaciones de Base,1.1,22,0
OIT,existente,Organizaciones de Base,1.2,39,0
OIT,existente,Organizaciones de Base,1.3,14,0
OIT,existente,Organizaciones de Base,2.1,17,0
OIT,existente,Organizaciones de Base,2.2,20,0
